0001.hk,0002.hk,0003.hk,0004.hk,0005.hk,0006.hk,0011.hk,0012.hk,0016.hk,0017.hk,0019.hk,0023.hk,0027.hk,0066.hk,0083.hk,0101.hk,0135.hk,0144.hk,0151.hk,0267.hk,0293.hk,0386.hk,0388.hk,0494.hk,0688.hk,0700.hk,0762.hk,0823.hk,0836.hk,0857.hk,0883.hk,0939.hk,0941.hk,0992.hk,1038.hk,1044.hk,1088.hk,1109.hk,1113.hk,1299.hk,1398.hk,1880.hk,1928.hk,2018.hk,2318.hk,2319.hk,2388.hk,2628.hk,3328.hk,3988.hk
90.91394,76.428,14.58591,58.27178,68.081,67.848,164.3,42.8021,107.25,9.36,79.021,34.5,37.3,39.262,12.51918,19.147,6.578,21.265,5.588,11.671,11.06,6,200.288,3.52,23.75809,211.4288,9.35,53.05,13.669,6.03,9.289,6.45,86.571,4.88,61.57,62.3,16.242,20.672,50.89,46.793,5.13,5.06,32.064,86.233,42.25,15,30.976,24.05,6.28,4.03
91.40378,76.034,14.72389,58.12524,68.081,67.751,163.5,42.9976,107.052,9.31,79.218,33.1,36.85,39.704,12.49937,19.341,6.588,20.925,5.478,11.28,11.14,6.05,198.111,3.48,23.16904,211.6283,9.39,53.05,13.536,6.04,9.201,6.35,85.34,4.7,62.057,65.7,16.008,20.38,51.04,48.372,5.06,5.05,31.432,86.134,42.1,15.08,30.78,24.05,6.13,3.95
90.91394,76.329,14.76331,58.516,68.779,67.071,163.1,42.9976,107.448,9.37,79.12,32.8,36.6,40.145,12.47956,19.127,6.697,21.119,5.359,11.28,11.18,6.14,198.705,3.43,23.21813,213.4234,9.35,52.9,13.631,6.11,9.25,6.35,85.882,4.76,61.862,66.9,15.969,20.477,51.13,48.471,5.11,5.1,31.237,86.875,42.1,15.54,30.927,24,6.27,4.01
91.20784,76.724,14.76331,58.90676,65.34,67.557,163.3,43.5839,110.617,9.45,79.366,32.9,35.8,40.096,12.53899,19.147,6.717,20.876,5.299,11.24,11.32,6.17,196.923,3.49,23.16904,210.4315,9.3,53.35,13.498,6.14,9.231,6.3,85.684,4.7,61.716,66.05,16.047,20.38,51.57,48.421,5.07,5.54,30.897,86.973,42.25,15.42,30.78,24.198,6.27,3.95
91.35479,76.724,14.78302,61.2513,65.24,67.945,163.9,44.0725,111.905,9.78,79.317,33,36.15,40.44,12.85593,19.166,6.806,21.167,5.339,11.24,11.3,6.22,197.913,3.57,24.00352,214.4207,9.32,53.5,13.707,6.21,9.24,6.45,86.177,4.7,62.398,67.35,16.086,21.402,52.16,48.372,5.18,5.49,30.945,86.973,42.55,15.38,30.976,24.347,6.39,4.02
90.62004,77.118,14.66476,61.54437,64.05,67.508,161.9,44.2191,112.895,10.1,79.761,33,36.85,40.587,13.07382,19.399,6.747,21.119,5.079,11.221,11.4,6.19,198.309,3.55,23.90535,214.2213,9.33,53.25,13.498,6.11,9.201,6.46,85.093,4.65,62.155,67.1,16.066,21.207,52.21,48.421,5.19,5.44,31.383,85.789,42.55,15.4,30.878,24.149,6.32,4.04
92.57939,76.773,14.76331,60.42094,63.55,67.702,160,44.1702,113.291,10.18,79.859,32.9,37,40.587,13.2521,19.302,6.677,20.73,5.009,11.123,11.42,6.1,195.934,3.53,23.65991,210.6309,9.6,54,13.536,6.11,9.153,6.41,85.241,4.74,62.447,66,15.871,20.818,52.31,48.125,5.14,5.44,31.286,81.741,42.15,15.14,30.437,24.099,6.25,3.97
94.34281,77.118,14.78302,60.42094,63,67.799,159.4,44.2191,113.588,10.22,80.204,32.75,37.1,40.636,13.29172,19.147,6.737,21.119,5.019,10.966,11.34,6.06,193.361,3.5,23.61082,209.6336,9.53,54.25,13.309,6.02,9.026,6.36,85.29,4.7,62.69,67.3,15.871,20.672,52.16,49.458,5.08,5.43,31.188,83.074,41.8,15.44,30.388,23.802,6.2,3.93
93.95094,77.858,14.72389,60.12787,62.5,67.605,159.2,44.0725,112.4,10.16,78.676,32.1,37.2,40.293,13.39077,19.049,6.687,21.022,4.989,10.907,11.4,6.02,190.689,3.46,23.46356,206.4423,9.44,53.55,13.328,5.91,8.958,6.39,84.354,4.66,62.301,66.3,15.832,20.623,51.67,48.421,5.09,5.35,31.529,80.705,41.4,15.3,30.094,23.406,6.19,3.93
94.34281,78.598,14.76331,61.34899,62.9,67.654,161,44.4634,114.48,10.2,79.07,32.85,39.25,41.127,13.45019,19.049,6.628,21.022,4.92,10.927,11.34,5.97,191.481,3.42,23.26722,206.2428,9.43,53.6,13.555,5.83,8.87,6.34,84.403,4.67,62.447,66.1,15.696,20.332,52.01,48.668,5.04,5.32,32.745,81.593,41.3,15.4,30.486,23.357,6.15,3.9
94.24483,78.647,14.96042,60.95824,63.55,67.12,161,44.61,113.192,10.16,79.563,32.25,39.15,40.833,13.66809,19.224,6.935,20.925,4.949,10.868,11.42,5.98,189.997,3.4,23.16904,205.8439,9.38,53,13.574,5.86,8.948,6.26,84.108,4.66,62.495,66.15,15.696,20.283,51.18,48.668,5.01,5.29,32.453,81.791,41.25,15.2,30.486,23.406,6.14,3.86
93.41211,78.104,14.84215,60.22557,63.25,66.974,160.6,44.0237,111.905,9.93,78.577,32,38.6,40.293,13.47,18.875,6.905,20.828,4.989,10.77,11.34,5.94,189.403,3.51,22.87452,206.6417,9.32,52.35,13.498,5.85,8.918,6.15,83.861,4.67,61.911,64,15.657,19.942,50.4,48.372,4.93,5.28,32.259,81.84,41.2,14.96,30.584,23.159,6.05,3.79
93.51008,78.745,14.86186,60.22557,63.2,66.731,157.5,43.9748,110.915,9.99,79.169,32.05,38.55,40.931,13.47,18.855,6.935,20.779,4.989,10.849,11.8,5.95,189.7,3.62,22.92361,208.6363,9.32,52.3,13.612,5.88,8.889,6.17,83.566,4.68,61.424,65,15.91,19.894,49.96,48.421,4.95,5.25,32.308,84.209,41.4,15.3,30.29,23.159,6.06,3.81
94.0489,78.252,14.7436,60.8117,63.2,66.44,156.6,44.0725,111.905,10,78.627,32.1,38.45,40.685,13.38,19.205,6.915,20.973,5.129,10.849,11.96,6.02,190.194,3.68,23.36539,211.2293,9.38,51.95,13.688,5.92,8.879,6.18,83.861,4.71,61.034,65.7,15.754,20.429,50.06,48.52,4.97,5.31,32.405,81.939,41.7,15.38,30.486,23.456,6.08,3.82
