0001.hk,0002.hk,0003.hk,0004.hk,0005.hk,0006.hk,0011.hk,0012.hk,0016.hk,0017.hk,0019.hk,0023.hk,0027.hk,0066.hk,0083.hk,0101.hk,0135.hk,0144.hk,0151.hk,0267.hk,0293.hk,0386.hk,0388.hk,0494.hk,0688.hk,0700.hk,0762.hk,0823.hk,0836.hk,0857.hk,0883.hk,0939.hk,0941.hk,0992.hk,1038.hk,1044.hk,1088.hk,1109.hk,1113.hk,1299.hk,1398.hk,1880.hk,1928.hk,2018.hk,2318.hk,2319.hk,2388.hk,2628.hk,3328.hk,3988.hk
-0.002207447,0.001316214,0.002762334,0,0.01582615,0.004149437,-0.002668446,0.005827406,0.000945776,0.004489338,-0.005113629,0.004754358,0.001414427,-0.003874845,0.006318691,0.002261919,0,0.017464557,-0.00203252,0.005351474,0.016574586,0.021594684,0.004861528,-0.005698006,0,0.005083856,0.010273973,0.002881844,0.015162397,0.011345219,0.003023353,-0.001724138,0.009491231,0.001941748,-0.009756016,0.00661157,0.007454128,0.00746023,0.022249691,0.00861411,0.002114165,0.015184382,-0.005782469,0.005950709,0,-0.020463847,0.005109489,0.004752076,-0.00174216,0.002857143
0.01438043,0.00264238,0.001377362,0.009598566,0.00778198,0.003424706,0.021404682,0.010429982,0.006614173,0.011173184,0.010292871,0.004731861,0.011299435,0.006483197,0.018838632,0.023609745,0.02173913,0.029432553,-0.00407332,0.014074341,-0.019927536,0.003252033,0.010757773,0,0.008868825,0.010116282,0.009039548,0.001915709,0.00896156,0.012820513,0.018293317,0.010362694,0.016465423,0.003875969,0.018862205,0.014778325,0.00493265,0.008493956,0.033454252,0.0128,0.006329114,0.040598291,0.011632201,0.026892298,0.006234414,0,0.030535671,0.02130709,0.008726003,0.008547009
-0.005452585,-0.011866062,-0.004126403,-0.002592838,0.00387645,-0.012312249,0.001309758,-0.01605616,-0.014089582,-0.015469613,-0.001911058,-0.007849294,-0.001396648,0.001288287,-0.021572146,-0.00661428,0.003298697,-0.016674023,0.028425358,-0.001690391,-0.038817006,-0.01458671,-0.003721651,-0.014326648,0,-0.001001196,-0.006718925,-0.007648184,0.010362291,-0.012658228,-0.00398081,0,-0.001162081,-0.00965251,0.000809944,-0.019417476,-0.026996413,-0.008422417,-0.005655226,0.002113488,0.002096436,-0.008213552,0.001429701,-0.019158824,0.007434944,-0.008356546,0,0.004584152,-0.005190311,0.002824859
0.005482479,0,0,-0.01213178,-0.00693522,-0.004854923,-0.002616089,-0.010488376,0,-0.001122334,-0.002548644,-0.003164557,-0.00979021,-0.003859889,-0.012598381,0.00665832,0.003287851,-0.01695676,-0.011930801,-0.012209251,0.007692308,-0.001644737,-0.009085167,-0.011627907,-0.019780108,-0.009022806,-0.006764374,-0.001926782,-0.016116595,-0.017628205,-0.020086083,-0.01025641,0.000575841,-0.009746589,-0.003220639,-0.02640264,-0.008860432,-0.006316019,-0.022161208,-0.00210903,-0.014644351,-0.02484472,0.001458036,-0.001953305,-0.003690037,-0.016853933,0,-0.013782827,-0.005217391,-0.011267606
-0.003271506,0,0,0.007017582,0,0.000688745,0.011147541,-0.001178799,-0.003808351,-0.004494382,-0.014708362,0.003174603,0.008474576,0.00258323,0.004784974,0.008762508,-0.003277077,0.02460555,0.012074864,0.005232768,-0.007633588,0.004942339,-0.001617964,-0.017647059,0.006726418,0.000506169,0.002270148,0.001930502,0.004467435,-0.008156607,-0.007111483,0.001727116,-0.0034648,-0.011811024,-0.00644552,0.013559322,0.010179445,0.001041096,-0.009827517,0.003159558,0.004246285,0,0.00715824,0.01174277,-0.004938272,0.015714286,0,-0.004674221,-0.001748252,0.002849003
0.009846845,0.006011047,0.004143501,0.013066183,0.00077769,-0.006251792,0.005188067,0.005896124,0.011478385,0.006772009,0.007779899,0.025316456,-0.00280112,0.005153148,0.015873156,0.00762161,0.003287851,-0.009605863,0.009942334,0.005295279,0.005769231,0.016393443,0,0.002994012,0.00445462,0,0.013590034,0.004816956,-0.005930087,0.016447368,-0.003054561,-0.012068966,0.010454112,-0.007968127,-0.004886347,0.032608696,0.025192171,0.004269528,-0.002025522,-0.003149606,0,0.012738854,-0.007107363,0.011619548,-0.003722084,0,0.001644295,0.009392344,0.001751313,0.002840909
-0.00704226,0.00398342,-0.001375468,0.007738561,0.014717996,0.011197045,0.00516129,-0.002344146,0.004724409,-0.004484305,0.001293171,-0.010802469,0.023876404,0.003871204,0,0.017296997,0.004751761,0.00729927,0.023626698,-0.005267387,0.001912046,0.009677419,0.003241173,0.005970149,0.006651845,0.015166746,-0.008938547,-0.001917546,-0.008948195,0.011326861,-0.002113048,-0.001745201,-0.002297805,0.010040161,-0.003267974,0.010526316,-0.001197152,0.01378972,0,0.007365185,-0.002114165,-0.023060797,0.012890898,0.020401044,-0.00249066,0.011251758,0.004924788,-0.007002209,-0.005244755,-0.005665722
0.007092205,-0.000670205,0.002754725,0.003412988,0.018318272,0.004152397,0.010911425,0.015276355,0.007523511,0.007882883,0.012862827,0.024960998,0.009602195,0.00510696,0.010937358,0.02126729,0.008153947,0.007246377,0.038468936,0.010590558,-0.005725191,0.003194888,0.010763566,0.002967359,0.01321578,0.020916413,0.036076663,0.018251681,0.010533819,0.008,0.022763367,0.020979021,0.016121678,0.019880716,0.003278689,0.025641026,0.018420389,0.013602151,0.017860767,0.007332528,0.016949153,0.030042918,-0.007097083,0.011256442,0.003745318,0.027816412,0.019602614,0.011736867,0.014059754,0.014245014
0.0124594,0.003313035,0.006868589,-0.004251637,0.000752038,0.028278694,0.008888889,-0.003472633,0.002800249,0.005586592,0.005074638,0.01217656,0.00951087,0.007621517,-0.003091373,-0.001017131,-0.003235199,-0.002414507,0.027597703,0.003463588,0.011516315,-0.011146497,0.004794447,0,-0.002174048,-0.00292691,0.003264418,0.002830189,-0.00297829,-0.012698413,-0.006004141,-0.006849315,-0.00396935,-0.003898635,0.021233451,-0.00390625,-0.001176908,-0.002068636,0.002991027,0.003113626,-0.004166667,-0.008333333,-0.017070302,-0.011131145,-0.002487562,-0.0135318,0,-0.002338853,-0.003466205,-0.005617978
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
